backfill_id,decision_id,subject_candidacy_id,election_date,election_type,election_authority,represented_body,office_type,district_name,candidate_name_raw,party_name_raw,votes,total_contest_votes,vote_share,vote_rank,n_candidates,elected,acclaimed,result_status,source_authority,source_resource,source_locator
mcb_04e95c9a724c54999be8e7d630bca53e,mcd_b3e55dac2580550ca0b47a3071c6058e,can_b43d9b5795cf5aed9b587a956e49951b,2011-05-02,general,elections_canada,canada_house_of_commons,mp,Ajax-Pickering,Chris Alexander,Conservative,24797,56268,0.440694533304898,1,5,true,false,final,Elections Canada,41st general election official results,https://www.elections.ca/Scripts/VIS/HistoricalResults/35001_e.html
mcb_318578ea26775989886cc960cd9d578e,mcd_d3881eb6b87d53eb8395c15fedfb83a0,can_b43d9b5795cf5aed9b587a956e49951b,2015-10-19,general,elections_canada,canada_house_of_commons,mp,Ajax,Chris Alexander,Conservative,19374,56307,0.3440780009590282,2,5,false,false,final,Elections Canada,42nd general election official results,https://www.elections.ca/res/rep/off/ovr2015app/41/table12E.html
mcb_9c7aef4fac8d5654b76124195615fb03,mcd_4df7d8be13eb50748fe319949e61c6de,can_52f3f65dbd5a5867b98898a8500161d5,2024-06-10,by_election,mississauga_city_clerk,mississauga_city_council,mayor,City of Mississauga,Xiaohua Gong,,598,140020,0.004270818454506499,9,20,false,false,final,City of Mississauga,2024 mayoral by-election official results,https://www.mississauga.ca/wp-content/uploads/2025/12/01114423/by-election-official-results-2024.pdf
mcb_a14d901d7faa5d15abbbbf553bfed1b5,mcd_9c91514c828d58568553f02979d696e6,can_34ef58fec10453ec87a52c54391d0076,2015-09-03,by_election,elections_ontario,ontario_legislative_assembly,mpp,Simcoe North,Kevin Clarke,People's Party,146,39301,0.003714918195465764,6,8,false,false,final,Elections Ontario,2015-2016 annual report official by-election results,https://www.elections.on.ca/content/dam/NGW/sitecontent/2017/resources/2015-2016%20Annual%20Report.pdf
mcb_f5f1e935bd9e57ff82a4507255752612,mcd_097f291f42be544dae8c038b99aa8f4b,can_627d3742fe25534cb96e3e6cee6388c8,2022-06-02,general,elections_ontario,ontario_legislative_assembly,mpp,Sault Ste. Marie,"SAYERS, NAOMI",Independent,1070,26884,0.03980062490700789,4,6,false,false,final,Elections Ontario,2022 official tabulation for Sault Ste. Marie,https://www.elections.on.ca/content/dam/NGW/sitecontent/2022/results/Vote%20Totals%20From%20Official%20Tabulation%20-%20Sault%20Ste.%20Marie%20092.pdf
mcb_acb473030b2554299e80456052ab7773,mcd_21d4296c8b5e51d8bbb28236095c492d,can_24054bba2bed56dab41293ec7d138d41,1991-11-12,general,toronto_city_clerk,metro_toronto_council,councillor,Downtown,Olivia Chow,,10024,20905,0.4795025113609184,1,5,true,false,final,City of Toronto,Archived 1991 municipal election results,https://web.archive.org/web/20130501150112/http://www.toronto.ca/elections/results/results_1991.htm
mcb_a0d89937c2e2598ea6bebe4303fa39df,mcd_624f90d047735cecac9a376ef3626917,can_24054bba2bed56dab41293ec7d138d41,1994-11-14,general,toronto_city_clerk,metro_toronto_council,councillor,Downtown,Olivia Chow,,13327,19267,0.6917008356256812,1,2,true,false,final,City of Toronto,Archived 1994 municipal election results,https://web.archive.org/web/20030622172104/http://www.toronto.ca/elections/results/results_1994.htm
mcb_9df884ee157a57d887f9b7e165384eaf,mcd_69aeb9d2594451448da32fb35a6bc7bb,can_24054bba2bed56dab41293ec7d138d41,1997-11-10,general,toronto_city_clerk,toronto_city_council,councillor,Ward 24 Downtown,Olivia Chow,,20453,49772,0.41093385839427793,1,9,true,false,final,City of Toronto,1997 municipal election results,http://www.toronto.ca/elections/results/results_1997.htm
mcb_a63809d41357505c95f345cf0e63acf9,mcd_dc03bb80a06e5f0e9b6853a186b7f8f6,can_24054bba2bed56dab41293ec7d138d41,2000-11-13,general,toronto_city_clerk,toronto_city_council,councillor,Ward 20 Trinity-Spadina,Olivia Chow,,9477,11743,0.8070339776888359,1,3,true,false,final,City of Toronto,2000 municipal election results,http://www.toronto.ca/elections/results/results_2000.htm
mcb_8c58d53e645d5f06a946a88bb13b258a,mcd_7f97a54eff565328950c0164c0771d07,can_34ef58fec10453ec87a52c54391d0076,1994-11-14,general,east_york_city_clerk,east_york_borough_council,mayor,Borough of East York,Kevin Clarke,,788,24754,0.03183323907247314,4,5,false,false,final,Wikipedia citing the Toronto Star,1994 East York mayoral result,https://en.wikipedia.org/wiki/1994_Toronto_municipal_election
